Arizona Cardinals,2012
,G#,Opp,Spread,Over/Under,Result,vs. Line,OU Result
0,1,SEA,3.0,41.0,"W, 20-16",Won,Under
1,2,@NWE,13.5,47.0,"W, 20-18",Won,Under
2,3,PHI,3.0,42.0,"W, 27-6",Won,Under
3,4,MIA,-4.0,39.5,"W, 24-21",Lost,Over
4,5,@STL,-1.5,38.0,"L, 3-17",Lost,Under
5,6,BUF,-5.0,44.0,"L, 16-19",Lost,Under
6,7,@MIN,6.5,39.5,"L, 14-21",Lost,Under
7,8,SFO,7.0,38.5,"L, 3-24",Lost,Under
8,9,@GNB,10.5,43.5,"L, 17-31",Lost,Over
9,10,@ATL,9.5,44.0,"L, 19-23",Won,Under
10,11,STL,-1.0,36.5,"L, 17-31",Lost,Over
11,12,@NYJ,6.0,36.5,"L, 6-7",Won,Under
12,13,@SEA,10.0,36.0,"L, 0-58",Lost,Over
13,14,DET,6.5,43.5,"W, 38-10",Won,Over
14,15,CHI,7.0,36.5,"L, 13-28",Lost,Over
15,16,@SFO,16.5,39.5,"L, 13-27",Won,Over
